Time (s),Voltage (mV)
879198.9547159,0.0
879199.0341498,0.0
879199.0342706,0.0
879199.0343856,0.0
879199.034571,0.0
879199.0346748,6.0
879199.0347778,0.0
879199.0348956,0.0
879199.0349966,0.0
879199.0351145,0.0
879199.0352166,0.0
879199.0353166,3.0
879199.0354289,0.0
879199.035529,0.0
879199.0356288,0.0
879199.0357408,3.0
879199.0358401,0.0
879199.0359389,0.0
879199.0360531,0.0
879199.0361522,3.0
879199.0362633,3.0
879199.0363636,0.0
879199.0364616,3.0
879199.0365774,3.0
879199.0366776,0.0
879199.0367777,0.0
879199.0368925,0.0
879199.0369934,0.0
879199.0370949,0.0
879199.0372073,0.0
879199.037308,0.0
879199.0374187,0.0
879199.0375202,0.0
879199.0376196,0.0
879199.0377309,0.0
879199.0378304,0.0
879199.0379296,0.0
879199.0380389,0.0
879199.0381388,0.0
879199.038238,0.0
879199.038348,0.0
879199.0384484,0.0
879199.0385606,0.0
879199.0386615,0.0
879199.0387605,0.0
879199.0388709,0.0
879199.0389707,0.0
879199.0390695,0.0
879199.0391822,0.0
879199.0392809,0.0
879199.0393805,0.0
879199.0394907,0.0
879199.0395895,0.0
879199.0396959,0.0
879199.0397963,0.0
879199.0398945,0.0
879199.040003,0.0
879199.0401023,0.0
879199.0402015,0.0
879199.0403098,0.0
879199.0404091,0.0
879199.0405067,0.0
879199.0406135,0.0
879199.0407127,0.0
879199.0408199,0.0
879199.0409203,0.0
879199.0410178,0.0
879199.0411268,0.0
879199.0412256,0.0
879199.0413242,0.0
879199.0414316,0.0
879199.041532,0.0
879199.0416301,0.0
879199.0417383,0.0
879199.0418375,0.0
879199.0419448,0.0
879199.042045,0.0
879199.0421443,0.0
879199.0422522,0.0
879199.0423516,0.0
879199.0424506,0.0
879199.0425591,0.0
879199.0426586,0.0
879199.0427593,0.0
879199.0428686,0.0
879199.0429687,0.0
879199.0430763,0.0
879199.0431791,0.0
879199.0432776,3.0
879199.043386,0.0
879199.0434857,0.0
879199.0435841,0.0
879199.0436923,0.0
879199.0437924,0.0
879199.0438907,0.0
879199.0439989,0.0
879199.0440976,0.0
879199.0442047,0.0
879199.0443042,0.0
879199.0444022,0.0
879199.0445101,6.0
879199.0446091,0.0
879199.044707,0.0
879199.0448141,3.0
879199.0449131,0.0
879199.0450106,0.0
879199.0451178,0.0
879199.0452166,0.0
879199.0453228,0.0
879199.045423,0.0
879199.0455205,0.0
879199.0456271,0.0
879199.0457261,0.0
879199.0458247,0.0
879199.0459325,0.0
879199.0460311,0.0
879199.0461289,0.0
879199.0462356,0.0
879199.046334,0.0
879199.0464388,0.0
879199.0465384,0.0
879199.0466364,0.0
879199.0467439,0.0
879199.0468436,0.0
879199.0469416,0.0
879199.047049,0.0
879199.0471475,0.0
879199.0472446,0.0
879199.0473516,0.0
879199.0474509,0.0
879199.0475569,0.0
879199.0476564,0.0
879199.0477545,0.0
879199.0478614,0.0
879199.0479608,0.0
879199.0480587,0.0
879199.0481669,0.0
879199.0482667,0.0
879199.0483647,0.0
879199.0484714,0.0
879199.0485702,0.0
879199.0486757,6.0
879199.0487753,0.0
879199.0488731,0.0
879199.0489795,0.0
879199.0490788,0.0
879199.0491764,0.0
879199.0492844,0.0
879199.0493835,0.0
879199.0494886,0.0
879199.0495976,0.0
879199.0496969,0.0
879199.0498032,0.0
879199.0499059,0.0
879199.0500047,0.0
879199.0501753,0.0
879199.0502795,0.0
879199.0503785,0.0
879199.0504877,0.0
879199.0505874,0.0
879199.0506847,0.0
879199.0507915,0.0
879199.0508915,0.0
879199.0509973,0.0
879199.0510976,0.0
879199.0511955,0.0
879199.0513028,0.0
879199.0514019,0.0
879199.051501,0.0
879199.0516083,3.0
879199.0517077,0.0
879199.0518056,0.0
879199.0519131,0.0
879199.0520131,0.0
879199.0521201,0.0
879199.0522206,3.0
879199.0523189,0.0
879199.0524258,0.0
879199.0525245,0.0
879199.0526225,0.0
879199.0527307,0.0
879199.0528291,0.0
879199.0529271,0.0
879199.0530348,0.0
879199.0531343,0.0
879199.0532415,0.0
879199.0533417,0.0
879199.0534395,0.0
879199.053547,0.0
879199.0536464,0.0
879199.0537446,0.0
879199.0538521,0.0
879199.0539513,0.0
879199.0540486,0.0
879199.0541557,0.0
879199.054255,0.0
879199.0543619,0.0
879199.0544617,0.0
879199.0545592,0.0
879199.0546655,0.0
879199.0547647,0.0
879199.0548633,0.0
879199.0549714,0.0
879199.0550709,0.0
879199.0551688,0.0
879199.0552766,0.0
879199.0553757,0.0
879199.0554821,0.0
879199.0555816,0.0
879199.0556795,0.0
879199.0557855,0.0
879199.0558842,0.0
879199.055982,0.0
879199.0560892,0.0
879199.0561878,0.0
879199.0562843,0.0
879199.0563909,0.0
879199.056489,0.0
879199.0565938,0.0
879199.0566934,0.0
879199.0567909,0.0
879199.0568979,0.0
879199.0569964,0.0
879199.0570939,0.0
879199.0572008,0.0
879199.0572999,0.0
879199.0573972,0.0
879199.0575047,0.0
879199.0576036,0.0
879199.0577096,0.0
879199.0578095,0.0
879199.0579077,0.0
879199.0580147,0.0
879199.0581148,0.0
879199.0582138,0.0
879199.0583218,0.0
879199.0584217,0.0
879199.0585197,0.0
879199.0586266,0.0
879199.0587255,0.0
879199.0588319,0.0
879199.0589324,0.0
879199.0590307,0.0
879199.059137,0.0
879199.059236,0.0
879199.059334,0.0
879199.0594429,0.0
879199.0595421,0.0
879199.0596404,0.0
879199.0597485,6.0
879199.059848,0.0
879199.0599543,0.0
879199.0600544,0.0
879199.0601526,0.0
879199.0602598,0.0
879199.0603587,0.0
879199.0604566,0.0
879199.0605638,0.0
879199.0606627,3.0
879199.0607596,6.0
879199.0608668,0.0
879199.0609655,0.0
879199.0610713,0.0
879199.0611707,0.0
879199.0612682,0.0
879199.0613743,0.0
879199.0614731,0.0
879199.0615705,0.0
879199.0616774,0.0
879199.0617768,0.0
879199.0618748,0.0
879199.0619823,0.0
879199.0620811,0.0
879199.0621869,0.0
879199.0622863,0.0
879199.0623839,0.0
879199.0624907,0.0
879199.0625896,0.0
879199.0626877,0.0
879199.0627954,0.0
879199.0628947,0.0
879199.0629925,0.0
879199.0631005,0.0
879199.0631995,0.0
879199.0633063,0.0
879199.0634059,0.0
879199.063504,0.0
879199.0636111,0.0
879199.0637105,0.0
879199.0638091,0.0
879199.0639166,0.0
879199.0640152,0.0
879199.064113,0.0
879199.0642203,0.0
879199.0643197,0.0
879199.0644263,0.0
879199.0645268,0.0
879199.0646248,0.0
879199.0647324,0.0
879199.0648316,0.0
879199.0649299,0.0
879199.0650376,0.0
879199.0651447,0.0
879199.0652436,0.0
879199.0653524,0.0
879199.0654515,0.0
879199.0655587,0.0
879199.0656585,0.0
879199.0657564,0.0
879199.0658639,3.0
879199.0659633,0.0
879199.0660613,0.0
879199.0662504,0.0
879199.0663582,0.0
879199.0664587,0.0
879199.0665674,0.0
