Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0129"
"0.0200","0.0000","0.0226"
"0.0400","0.0001","0.0038"
"0.0600","0.0004","0.0079"
"0.0800","0.0008","0.0057"
"0.1000","0.0016","0.0041"
"0.1200","0.0035","0.0362"
"0.1400","0.0066","0.0070"
"0.1600","0.0102","0.0050"
"0.1800","0.0139","0.0244"
"0.2000","0.0175","0.0106"
"0.2200","0.0210","0.0129"
"0.2400","0.0245","0.0255"
"0.2600","0.0278","0.0285"
"0.2800","0.0313","0.0327"
"0.3000","0.0349","0.0379"
"0.3200","0.0384","0.0266"
"0.3400","0.0416","0.0169"
"0.3600","0.0443","0.0410"
"0.3800","0.0469","0.0334"
"0.4000","0.0495","0.0345"
"0.4200","0.0524","0.0614"
"0.4400","0.0554","0.0367"
"0.4600","0.0585","0.0401"
"0.4800","0.0620","0.0468"
"0.5000","0.0657","0.0465"
"0.5200","0.0697","0.0534"
"0.5400","0.0737","0.0441"
"0.5600","0.0774","0.0402"
"0.5800","0.0811","0.0530"
"0.6000","0.0847","0.0566"
"0.6200","0.0884","0.0545"
"0.6400","0.0919","0.0504"
"0.6600","0.0948","0.0593"
"0.6800","0.0975","0.0697"
"0.7000","0.1000","0.0601"
"0.7200","0.1028","0.0652"
"0.7400","0.1058","0.0584"
"0.7600","0.1088","0.0730"
"0.7800","0.1121","0.0661"
"0.8000","0.1157","0.0635"
"0.8200","0.1195","0.0784"
"0.8400","0.1233","0.0663"
"0.8600","0.1271","0.0736"
"0.8800","0.1306","0.0726"
"0.9000","0.1341","0.0718"
"0.9200","0.1376","0.0804"
"0.9400","0.1410","0.0749"
"0.9600","0.1443","0.0746"
"0.9800","0.1472","0.0788"
"1.0000","0.1498","0.0861"
"1.0200","0.1524","0.0830"
"1.0400","0.1554","0.0797"
"1.0600","0.1586","0.1010"
"1.0800","0.1618","0.0915"
"1.1000","0.1653","0.0956"
"1.1200","0.1690","0.1013"
"1.1400","0.1730","0.0899"
"1.1600","0.1770","0.1000"
"1.1800","0.1807","0.1013"
"1.2000","0.1843","0.1065"
"1.2200","0.1878","0.1046"
"1.2400","0.1915","0.1054"
"1.2600","0.1950","0.1074"
"1.2800","0.1982","0.0973"
"1.3000","0.2009","0.1101"
"1.3200","0.2035","0.1196"
"1.3400","0.2062","0.1098"
"1.3600","0.2092","0.1124"
"1.3800","0.2123","0.1126"
"1.4000","0.2155","0.1208"
"1.4200","0.2189","0.1240"
"1.4400","0.2226","0.1152"
"1.4600","0.2264","0.1256"
"1.4800","0.2302","0.1222"
"1.5000","0.2337","0.1235"
"1.5200","0.2371","0.1248"
"1.5400","0.2406","0.1297"
"1.5600","0.2442","0.1348"
"1.5800","0.2477","0.1353"
"1.6000","0.2508","0.1405"
"1.6200","0.2535","0.1388"
"1.6400","0.2561","0.1386"
"1.6600","0.2589","0.1473"
"1.6800","0.2619","0.1345"
"1.7000","0.2650","0.1428"
"1.7200","0.2683","0.1569"
"1.7400","0.2720","0.1486"
"1.7600","0.2759","0.1546"
"1.7800","0.2799","0.1451"
"1.8000","0.2839","0.1539"
"1.8200","0.2877","0.1572"
"1.8400","0.2913","0.1566"
"1.8600","0.2949","0.1611"
"1.8800","0.2984","0.1508"
"1.9000","0.3016","0.1640"
"1.9200","0.3044","0.1677"
"1.9400","0.3069","0.1670"
"1.9600","0.3096","0.1775"
"1.9800","0.3124","0.1768"
"2.0000","0.3155","0.1655"
"2.0200","0.3185","0.1643"
"2.0400","0.3218","0.1809"
"2.0600","0.3253","0.1778"
"2.0800","0.3291","0.1754"
"2.1000","0.3329","0.1853"
"2.1200","0.3366","0.1770"
"2.1400","0.3401","0.1842"
"2.1600","0.3436","0.2039"
"2.1800","0.3471","0.1785"
"2.2000","0.3506","0.1796"
"2.2200","0.3538","0.1927"
"2.2400","0.3566","0.1807"
"2.2600","0.3593","0.1854"
"2.2800","0.3621","0.1956"
"2.3000","0.3651","0.1944"
"2.3200","0.3682","0.2008"
"2.3400","0.3715","0.2051"
"2.3600","0.3751","0.2007"
"2.3800","0.3789","0.2072"
"2.4000","0.3829","0.2177"
"2.4200","0.3869","0.1939"
"2.4400","0.3907","0.2088"
"2.4600","0.3943","0.2308"
"2.4800","0.3981","0.2083"
"2.5000","0.4018","0.2170"
"2.5200","0.4053","0.2225"
"2.5400","0.4081","0.2203"
"2.5600","0.4107","0.2276"
"2.5800","0.4134","0.2309"
"2.6000","0.4162","0.2243"
"2.6200","0.4192","0.2279"
"2.6400","0.4221","0.2384"
"2.6600","0.4253","0.2348"
"2.6800","0.4288","0.2320"
"2.7000","0.4326","0.2501"
"2.7200","0.4364","0.2445"
"2.7400","0.4401","0.2442"
"2.7600","0.4437","0.2536"
"2.7800","0.4473","0.2500"
"2.8000","0.4510","0.2541"
"2.8200","0.4547","0.2468"
"2.8400","0.4580","0.2552"
"2.8600","0.4608","0.2563"
"2.8800","0.4634","0.2645"
"2.9000","0.4660","0.2743"
"2.9200","0.4689","0.2628"
"2.9400","0.4720","0.2755"
"2.9600","0.4751","0.2768"
"2.9800","0.4786","0.2707"
"3.0000","0.4823","0.2795"
"3.0200","0.4863","0.2900"
"3.0400","0.4903","0.2791"
"3.0600","0.4941","0.2800"
"3.0800","0.4978","0.2944"
"3.1000","0.5014","0.2958"
"3.1200","0.5050","0.2842"
"3.1400","0.5083","0.2951"
"3.1600","0.5112","0.2850"
"3.1800","0.5139","0.3007"
"3.2000","0.5164","0.3182"
"3.2200","0.5192","0.3025"
"3.2400","0.5222","0.2984"
"3.2600","0.5252","0.3113"
"3.2800","0.5284","0.3165"
"3.3000","0.5319","0.3119"
"3.3200","0.5358","0.3256"
"3.3400","0.5398","0.3171"
"3.3600","0.5437","0.3180"
"3.3800","0.5473","0.3282"
"3.4000","0.5507","0.3214"
"3.4200","0.5543","0.3304"
"3.4400","0.5578","0.3457"
"3.4600","0.5611","0.3301"
"3.4800","0.5640","0.3371"
"3.5000","0.5667","0.3536"
"3.5200","0.5694","0.3447"
"3.5400","0.5723","0.3526"
"3.5600","0.5753","0.3532"
"3.5800","0.5785","0.3517"
"3.6000","0.5819","0.3631"
"3.6200","0.5856","0.3715"
"3.6400","0.5895","0.3582"
"3.6600","0.5934","0.3729"
"3.6800","0.5972","0.3765"
"3.7000","0.6008","0.3660"
"3.7200","0.6044","0.3764"
"3.7400","0.6080","0.3875"
"3.7600","0.6115","0.3884"
"3.7800","0.6146","0.3981"
"3.8000","0.6174","0.3956"
"3.8200","0.6200","0.3949"
"3.8400","0.6227","0.4016"
"3.8600","0.6256","0.3981"
"3.8800","0.6286","0.4016"
"3.9000","0.6318","0.4105"
"3.9200","0.6351","0.4258"
"3.9400","0.6387","0.4200"
"3.9600","0.6425","0.4208"
"3.9800","0.6463","0.4365"
"4.0000","0.6500","0.4354"
"4.0200","0.6534","0.4395"
"4.0400","0.6570","0.4337"
"4.0600","0.6605","0.4425"
"4.0800","0.6640","0.4424"
"4.1000","0.6672","0.4443"
"4.1200","0.6700","0.4562"
"4.1400","0.6727","0.4578"
"4.1600","0.6755","0.4569"
"4.1800","0.6786","0.4663"
"4.2000","0.6819","0.4541"
"4.2200","0.6853","0.4753"
"4.2400","0.6889","0.4887"
"4.2600","0.6927","0.4880"
"4.2800","0.6968","0.4882"
"4.3000","0.7007","0.4882"
"4.3200","0.7043","0.4995"
"4.3400","0.7079","0.5050"
"4.3600","0.7114","0.5129"
"4.3800","0.7149","0.5067"
"4.4000","0.7181","0.5093"
"4.4200","0.7209","0.5193"
"4.4400","0.7235","0.5256"
"4.4600","0.7262","0.5349"
"4.4800","0.7291","0.5367"
"4.5000","0.7320","0.5414"
"4.5200","0.7351","0.5485"
"4.5400","0.7385","0.5514"
"4.5600","0.7423","0.5485"
"4.5800","0.7462","0.5625"
"4.6000","0.7501","0.5672"
"4.6200","0.7537","0.5723"
"4.6400","0.7573","0.5763"
"4.6600","0.7609","0.5858"
"4.6800","0.7645","0.5813"
"4.7000","0.7680","0.5746"
"4.7200","0.7711","0.5893"
"4.7400","0.7738","0.5981"
"4.7600","0.7764","0.6047"
"4.7800","0.7792","0.6183"
"4.8000","0.7823","0.6041"
"4.8200","0.7855","0.6246"
"4.8400","0.7888","0.6279"
"4.8600","0.7924","0.6268"
"4.8800","0.7962","0.6312"
"4.9000","0.8002","0.6414"
"4.9200","0.8040","0.6553"
"4.9400","0.8076","0.6560"
"4.9600","0.8110","0.6688"
"4.9800","0.8146","0.6699"
"5.0000","0.8182","0.6647"
"5.0200","0.8216","0.6736"
"5.0400","0.8245","0.6729"
"5.0600","0.8271","0.6837"
"5.0800","0.8297","0.6832"
"5.1000","0.8325","0.6906"
"5.1200","0.8354","0.6963"
"5.1400","0.8384","0.6983"
"5.1600","0.8415","0.7040"
"5.1800","0.8450","0.7063"
"5.2000","0.8487","0.7145"
"5.2200","0.8527","0.7326"
"5.2400","0.8565","0.7326"
"5.2600","0.8602","0.7342"
"5.2800","0.8638","0.7460"
"5.3000","0.8676","0.7587"
"5.3200","0.8713","0.7586"
"5.3400","0.8746","0.7573"
"5.3600","0.8774","0.7633"
"5.3800","0.8800","0.7736"
"5.4000","0.8827","0.7782"
"5.4200","0.8857","0.7886"
"5.4400","0.8888","0.7746"
"5.4600","0.8919","0.7892"
"5.4800","0.8954","0.8193"
"5.5000","0.8991","0.7973"
"5.5200","0.9030","0.8142"
"5.5400","0.9070","0.8282"
"5.5600","0.9107","0.8347"
"5.5800","0.9143","0.8515"
"5.6000","0.9178","0.8515"
"5.6200","0.9213","0.8497"
