Time,Displacement,Force
(s),(mm),(N)
"0.0000","-0.0001","0.0256"
"0.0200","-0.0001","0.0231"
"0.0400","0.0000","0.0092"
"0.0600","0.0003","0.0166"
"0.0800","0.0006","0.0314"
"0.1000","0.0010","0.0141"
"0.1200","0.0016","0.0343"
"0.1400","0.0027","0.0498"
"0.1600","0.0049","0.0322"
"0.1800","0.0084","0.0308"
"0.2000","0.0121","0.0262"
"0.2200","0.0158","0.0345"
"0.2400","0.0194","0.0424"
"0.2600","0.0229","0.0367"
"0.2800","0.0263","0.0448"
"0.3000","0.0297","0.0389"
"0.3200","0.0332","0.0487"
"0.3400","0.0368","0.0455"
"0.3600","0.0401","0.0445"
"0.3800","0.0430","0.0554"
"0.4000","0.0455","0.0581"
"0.4200","0.0480","0.0702"
"0.4400","0.0508","0.0573"
"0.4600","0.0538","0.0588"
"0.4800","0.0569","0.0690"
"0.5000","0.0602","0.0623"
"0.5200","0.0638","0.0696"
"0.5400","0.0676","0.0731"
"0.5600","0.0716","0.0749"
"0.5800","0.0755","0.0718"
"0.6000","0.0792","0.0668"
"0.6200","0.0829","0.0789"
"0.6400","0.0867","0.0876"
"0.6600","0.0902","0.0889"
"0.6800","0.0934","0.0843"
"0.7000","0.0962","0.0839"
"0.7200","0.0987","0.0955"
"0.7400","0.1014","0.0890"
"0.7600","0.1043","0.0866"
"0.7800","0.1074","0.1017"
"0.8000","0.1105","0.0949"
"0.8200","0.1138","0.1060"
"0.8400","0.1175","0.0978"
"0.8600","0.1213","0.0975"
"0.8800","0.1252","0.1090"
"0.9000","0.1289","0.1197"
"0.9200","0.1324","0.1116"
"0.9400","0.1359","0.1090"
"0.9600","0.1393","0.1230"
"0.9800","0.1427","0.1130"
"1.0000","0.1457","0.1083"
"1.0200","0.1485","0.1304"
"1.0400","0.1511","0.1313"
"1.0600","0.1538","0.1432"
"1.0800","0.1568","0.1405"
"1.1000","0.1600","0.1188"
"1.1200","0.1633","0.1337"
"1.1400","0.1669","0.1392"
"1.1600","0.1707","0.1458"
"1.1800","0.1748","0.1399"
"1.2000","0.1787","0.1486"
"1.2200","0.1823","0.1516"
"1.2400","0.1859","0.1531"
"1.2600","0.1895","0.1655"
"1.2800","0.1931","0.1635"
"1.3000","0.1966","0.1683"
"1.3200","0.1995","0.1637"
"1.3400","0.2022","0.1590"
"1.3600","0.2048","0.1740"
"1.3800","0.2077","0.1799"
"1.4000","0.2107","0.1722"
"1.4200","0.2138","0.1796"
"1.4400","0.2170","0.1815"
"1.4600","0.2205","0.1875"
"1.4800","0.2243","0.1798"
"1.5000","0.2282","0.1756"
"1.5200","0.2319","0.1920"
"1.5400","0.2354","0.1963"
"1.5600","0.2389","0.1865"
"1.5800","0.2424","0.1923"
"1.6000","0.2460","0.2052"
"1.6200","0.2492","0.1948"
"1.6400","0.2520","0.1973"
"1.6600","0.2547","0.2014"
"1.6800","0.2574","0.2070"
"1.7000","0.2603","0.2099"
"1.7200","0.2633","0.2079"
"1.7400","0.2665","0.2060"
"1.7600","0.2700","0.2139"
"1.7800","0.2738","0.2152"
"1.8000","0.2778","0.2170"
"1.8200","0.2819","0.2260"
"1.8400","0.2857","0.2260"
"1.8600","0.2894","0.2340"
"1.8800","0.2931","0.2368"
"1.9000","0.2966","0.2226"
"1.9200","0.3000","0.2221"
"1.9400","0.3029","0.2426"
"1.9600","0.3055","0.2396"
"1.9800","0.3081","0.2372"
"2.0000","0.3109","0.2498"
"2.0200","0.3138","0.2378"
"2.0400","0.3168","0.2428"
"2.0600","0.3199","0.2566"
"2.0800","0.3233","0.2514"
"2.1000","0.3270","0.2626"
"2.1200","0.3308","0.2713"
"2.1400","0.3347","0.2505"
"2.1600","0.3383","0.2661"
"2.1800","0.3418","0.2729"
"2.2000","0.3453","0.2712"
"2.2200","0.3489","0.2694"
"2.2400","0.3523","0.2726"
"2.2600","0.3553","0.2702"
"2.2800","0.3580","0.2786"
"2.3000","0.3607","0.2917"
"2.3200","0.3635","0.2848"
"2.3400","0.3665","0.2919"
"2.3600","0.3697","0.2932"
"2.3800","0.3731","0.2871"
"2.4000","0.3768","0.2920"
"2.4200","0.3807","0.3022"
"2.4400","0.3847","0.2958"
"2.4600","0.3886","0.3010"
"2.4800","0.3923","0.3088"
"2.5000","0.3960","0.3221"
"2.5200","0.3997","0.3140"
"2.5400","0.4033","0.3105"
"2.5600","0.4065","0.3066"
"2.5800","0.4093","0.3131"
"2.6000","0.4119","0.3299"
"2.6200","0.4146","0.3244"
"2.6400","0.4176","0.3198"
"2.6600","0.4206","0.3318"
"2.6800","0.4237","0.3419"
"2.7000","0.4271","0.3338"
"2.7200","0.4307","0.3299"
"2.7400","0.4345","0.3422"
"2.7600","0.4383","0.3448"
"2.7800","0.4419","0.3510"
"2.8000","0.4454","0.3582"
"2.8200","0.4490","0.3475"
"2.8400","0.4527","0.3550"
"2.8600","0.4563","0.3684"
"2.8800","0.4593","0.3540"
"2.9000","0.4620","0.3672"
"2.9200","0.4646","0.3779"
"2.9400","0.4674","0.3783"
"2.9600","0.4704","0.3681"
"2.9800","0.4735","0.3875"
"3.0000","0.4768","0.3910"
"3.0200","0.4803","0.3900"
"3.0400","0.4842","0.4074"
"3.0600","0.4882","0.3976"
"3.0800","0.4922","0.3852"
"3.1000","0.4958","0.4112"
"3.1200","0.4994","0.4021"
"3.1400","0.5031","0.4103"
"3.1600","0.5066","0.4289"
"3.1800","0.5098","0.4228"
"3.2000","0.5126","0.4143"
"3.2200","0.5152","0.4207"
"3.2400","0.5179","0.4384"
"3.2600","0.5207","0.4287"
"3.2800","0.5237","0.4429"
"3.3000","0.5268","0.4455"
"3.3200","0.5301","0.4406"
"3.3400","0.5337","0.4547"
"3.3600","0.5376","0.4547"
"3.3800","0.5415","0.4585"
"3.4000","0.5452","0.4708"
"3.4200","0.5487","0.4634"
"3.4400","0.5522","0.4629"
"3.4600","0.5558","0.4709"
"3.4800","0.5594","0.4819"
"3.5000","0.5625","0.4829"
"3.5200","0.5653","0.4859"
"3.5400","0.5680","0.4989"
"3.5600","0.5708","0.4915"
"3.5800","0.5738","0.5025"
"3.6000","0.5770","0.5039"
"3.6200","0.5802","0.5111"
"3.6400","0.5837","0.5210"
"3.6600","0.5875","0.5067"
"3.6800","0.5913","0.5151"
"3.7000","0.5952","0.5247"
"3.7200","0.5988","0.5307"
"3.7400","0.6024","0.5515"
"3.7600","0.6060","0.5451"
"3.7800","0.6097","0.5395"
"3.8000","0.6131","0.5561"
"3.8200","0.6160","0.5627"
"3.8400","0.6186","0.5738"
"3.8600","0.6213","0.5670"
"3.8800","0.6241","0.5748"
"3.9000","0.6271","0.5619"
"3.9200","0.6301","0.5711"
"3.9400","0.6333","0.5884"
"3.9600","0.6367","0.5865"
"3.9800","0.6404","0.6014"
"4.0000","0.6442","0.5923"
"4.0200","0.6479","0.5945"
"4.0400","0.6514","0.6134"
"4.0600","0.6550","0.6090"
"4.0800","0.6586","0.6143"
"4.1000","0.6623","0.6183"
"4.1200","0.6657","0.6189"
"4.1400","0.6687","0.6352"
"4.1600","0.6714","0.6296"
"4.1800","0.6741","0.6441"
"4.2000","0.6771","0.6511"
"4.2200","0.6802","0.6514"
