Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0049"
"0.0200","0.0000","-0.0022"
"0.0400","0.0001","0.0253"
"0.0600","0.0004","0.0167"
"0.0800","0.0007","0.0129"
"0.1000","0.0016","0.0286"
"0.1200","0.0034","0.0388"
"0.1400","0.0065","0.0181"
"0.1600","0.0101","0.0220"
"0.1800","0.0137","0.0351"
"0.2000","0.0174","0.0293"
"0.2200","0.0209","0.0341"
"0.2400","0.0244","0.0373"
"0.2600","0.0277","0.0282"
"0.2800","0.0312","0.0452"
"0.3000","0.0348","0.0307"
"0.3200","0.0383","0.0184"
"0.3400","0.0414","0.0406"
"0.3600","0.0442","0.0349"
"0.3800","0.0467","0.0348"
"0.4000","0.0493","0.0435"
"0.4200","0.0522","0.0415"
"0.4400","0.0552","0.0502"
"0.4600","0.0584","0.0571"
"0.4800","0.0619","0.0671"
"0.5000","0.0657","0.0591"
"0.5200","0.0696","0.0578"
"0.5400","0.0736","0.0577"
"0.5600","0.0773","0.0473"
"0.5800","0.0809","0.0608"
"0.6000","0.0845","0.0586"
"0.6200","0.0882","0.0622"
"0.6400","0.0917","0.0632"
"0.6600","0.0947","0.0574"
"0.6800","0.0973","0.0787"
"0.7000","0.0999","0.0767"
"0.7200","0.1027","0.0785"
"0.7400","0.1057","0.0765"
"0.7600","0.1087","0.0686"
"0.7800","0.1119","0.0881"
"0.8000","0.1155","0.0771"
"0.8200","0.1194","0.0684"
"0.8400","0.1233","0.0858"
"0.8600","0.1270","0.0866"
"0.8800","0.1305","0.0771"
"0.9000","0.1339","0.0851"
"0.9200","0.1374","0.1038"
"0.9400","0.1408","0.0839"
"0.9600","0.1441","0.0748"
"0.9800","0.1470","0.0945"
"1.0000","0.1496","0.0847"
"1.0200","0.1523","0.1051"
"1.0400","0.1552","0.1063"
"1.0600","0.1584","0.0887"
"1.0800","0.1617","0.1017"
"1.1000","0.1652","0.1037"
"1.1200","0.1689","0.0992"
"1.1400","0.1728","0.1077"
"1.1600","0.1768","0.1042"
"1.1800","0.1805","0.1108"
"1.2000","0.1841","0.1158"
"1.2200","0.1877","0.1140"
"1.2400","0.1913","0.1096"
"1.2600","0.1949","0.1218"
"1.2800","0.1980","0.1325"
"1.3000","0.2007","0.1124"
"1.3200","0.2033","0.1339"
"1.3400","0.2060","0.1354"
"1.3600","0.2090","0.1211"
"1.3800","0.2121","0.1324"
"1.4000","0.2153","0.1344"
"1.4200","0.2187","0.1352"
"1.4400","0.2225","0.1421"
"1.4600","0.2263","0.1324"
"1.4800","0.2300","0.1330"
"1.5000","0.2336","0.1453"
"1.5200","0.2370","0.1539"
"1.5400","0.2405","0.1424"
"1.5600","0.2441","0.1452"
"1.5800","0.2476","0.1516"
"1.6000","0.2507","0.1335"
"1.6200","0.2534","0.1527"
"1.6400","0.2560","0.1592"
"1.6600","0.2588","0.1636"
"1.6800","0.2617","0.1712"
"1.7000","0.2648","0.1570"
"1.7200","0.2681","0.1634"
"1.7400","0.2718","0.1684"
"1.7600","0.2757","0.1676"
"1.7800","0.2798","0.1645"
"1.8000","0.2838","0.1664"
"1.8200","0.2875","0.1796"
"1.8400","0.2912","0.1805"
"1.8600","0.2948","0.1754"
"1.8800","0.2983","0.1840"
"1.9000","0.3015","0.1678"
"1.9200","0.3042","0.1781"
"1.9400","0.3068","0.1799"
"1.9600","0.3094","0.1733"
"1.9800","0.3123","0.1828"
"2.0000","0.3152","0.1826"
"2.0200","0.3183","0.1880"
"2.0400","0.3216","0.1779"
"2.0600","0.3251","0.1948"
"2.0800","0.3289","0.1928"
"2.1000","0.3327","0.1938"
