Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0013"
"0.0200","0.0000","-0.0159"
"0.0400","0.0001","-0.0068"
"0.0600","0.0004","-0.0047"
"0.0800","0.0008","-0.0157"
"0.1000","0.0017","0.0066"
"0.1200","0.0038","0.0156"
"0.1400","0.0069","0.0003"
"0.1600","0.0105","-0.0179"
"0.1800","0.0140","-0.0189"
"0.2000","0.0175","-0.0060"
"0.2200","0.0211","-0.0030"
"0.2400","0.0246","0.0066"
"0.2600","0.0280","-0.0112"
"0.2800","0.0314","0.0025"
"0.3000","0.0350","0.0114"
"0.3200","0.0386","-0.0073"
"0.3400","0.0417","0.0075"
"0.3600","0.0445","0.0136"
"0.3800","0.0470","-0.0009"
"0.4000","0.0497","0.0109"
"0.4200","0.0526","0.0146"
"0.4400","0.0556","0.0124"
"0.4600","0.0588","0.0127"
"0.4800","0.0623","0.0185"
"0.5000","0.0661","0.0144"
"0.5200","0.0701","0.0112"
"0.5400","0.0740","0.0257"
"0.5600","0.0778","0.0174"
"0.5800","0.0814","0.0224"
"0.6000","0.0850","0.0297"
"0.6200","0.0887","0.0246"
"0.6400","0.0921","0.0219"
"0.6600","0.0951","0.0096"
"0.6800","0.0977","0.0282"
"0.7000","0.1004","0.0391"
"0.7200","0.1032","0.0369"
"0.7400","0.1062","0.0449"
"0.7600","0.1092","0.0289"
"0.7800","0.1124","0.0241"
"0.8000","0.1160","0.0297"
"0.8200","0.1198","0.0357"
"0.8400","0.1237","0.0418"
"0.8600","0.1274","0.0350"
"0.8800","0.1310","0.0454"
"0.9000","0.1344","0.0424"
"0.9200","0.1379","0.0391"
"0.9400","0.1414","0.0510"
"0.9600","0.1446","0.0345"
"0.9800","0.1475","0.0235"
"1.0000","0.1501","0.0407"
"1.0200","0.1528","0.0620"
"1.0400","0.1557","0.0467"
"1.0600","0.1589","0.0443"
"1.0800","0.1622","0.0590"
"1.1000","0.1657","0.0535"
"1.1200","0.1694","0.0516"
"1.1400","0.1734","0.0621"
"1.1600","0.1774","0.0498"
"1.1800","0.1812","0.0633"
"1.2000","0.1847","0.0672"
"1.2200","0.1882","0.0497"
"1.2400","0.1919","0.0646"
"1.2600","0.1953","0.0651"
"1.2800","0.1984","0.0621"
"1.3000","0.2011","0.0626"
"1.3200","0.2037","0.0725"
"1.3400","0.2065","0.0717"
"1.3600","0.2095","0.0673"
"1.3800","0.2126","0.0787"
"1.4000","0.2158","0.0720"
"1.4200","0.2193","0.0822"
"1.4400","0.2230","0.0856"
"1.4600","0.2268","0.0670"
"1.4800","0.2306","0.0779"
"1.5000","0.2341","0.0731"
"1.5200","0.2376","0.0754"
"1.5400","0.2411","0.0949"
"1.5600","0.2447","0.0743"
"1.5800","0.2481","0.0779"
"1.6000","0.2511","0.0795"
"1.6200","0.2538","0.0683"
"1.6400","0.2564","0.0880"
