Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0017"
"0.0200","0.0000","0.0075"
"0.0400","0.0001","0.0217"
"0.0600","0.0004","0.0044"
"0.0800","0.0007","-0.0051"
"0.1000","0.0016","0.0304"
"0.1200","0.0035","0.0176"
"0.1400","0.0067","-0.0014"
"0.1600","0.0102","0.0168"
"0.1800","0.0138","0.0094"
"0.2000","0.0173","0.0127"
"0.2200","0.0209","0.0134"
"0.2400","0.0244","0.0120"
"0.2600","0.0278","0.0323"
"0.2800","0.0313","0.0275"
"0.3000","0.0349","0.0101"
"0.3200","0.0385","0.0188"
"0.3400","0.0416","0.0194"
"0.3600","0.0443","0.0030"
"0.3800","0.0469","0.0230"
"0.4000","0.0495","0.0434"
"0.4200","0.0523","0.0295"
"0.4400","0.0554","0.0372"
"0.4600","0.0586","0.0366"
"0.4800","0.0620","0.0196"
"0.5000","0.0657","0.0419"
"0.5200","0.0697","0.0454"
"0.5400","0.0736","0.0294"
"0.5600","0.0775","0.0481"
"0.5800","0.0811","0.0526"
"0.6000","0.0848","0.0293"
"0.6200","0.0885","0.0359"
"0.6400","0.0920","0.0392"
"0.6600","0.0950","0.0461"
"0.6800","0.0976","0.0558"
"0.7000","0.1002","0.0506"
"0.7200","0.1030","0.0455"
"0.7400","0.1060","0.0525"
"0.7600","0.1090","0.0533"
"0.7800","0.1122","0.0563"
"0.8000","0.1158","0.0691"
"0.8200","0.1195","0.0604"
"0.8400","0.1233","0.0520"
"0.8600","0.1271","0.0498"
"0.8800","0.1306","0.0643"
"0.9000","0.1341","0.0608"
"0.9200","0.1377","0.0647"
"0.9400","0.1412","0.0578"
"0.9600","0.1444","0.0566"
"0.9800","0.1473","0.0696"
"1.0000","0.1499","0.0784"
"1.0200","0.1525","0.0713"
"1.0400","0.1555","0.0624"
"1.0600","0.1586","0.0790"
"1.0800","0.1619","0.0706"
"1.1000","0.1654","0.0738"
"1.1200","0.1691","0.0834"
"1.1400","0.1731","0.0755"
"1.1600","0.1771","0.0711"
"1.1800","0.1808","0.0852"
"1.2000","0.1844","0.0774"
"1.2200","0.1879","0.0810"
"1.2400","0.1916","0.0888"
"1.2600","0.1951","0.0697"
"1.2800","0.1981","0.0849"
"1.3000","0.2009","0.0936"
"1.3200","0.2035","0.0916"
"1.3400","0.2062","0.0888"
"1.3600","0.2092","0.0992"
"1.3800","0.2122","0.0951"
"1.4000","0.2154","0.0908"
"1.4200","0.2188","0.0995"
"1.4400","0.2226","0.0991"
"1.4600","0.2265","0.0984"
"1.4800","0.2303","0.1068"
"1.5000","0.2338","0.1050"
"1.5200","0.2372","0.0988"
"1.5400","0.2408","0.1023"
"1.5600","0.2443","0.1026"
"1.5800","0.2478","0.0974"
"1.6000","0.2508","0.0944"
"1.6200","0.2535","0.1195"
"1.6400","0.2562","0.1160"
"1.6600","0.2590","0.1109"
"1.6800","0.2620","0.1047"
"1.7000","0.2651","0.1158"
"1.7200","0.2684","0.1345"
"1.7400","0.2721","0.1272"
"1.7600","0.2760","0.1186"
"1.7800","0.2800","0.1220"
"1.8000","0.2840","0.1245"
"1.8200","0.2878","0.1214"
"1.8400","0.2914","0.1214"
"1.8600","0.2951","0.1312"
"1.8800","0.2986","0.1281"
"1.9000","0.3017","0.1238"
"1.9200","0.3044","0.1396"
"1.9400","0.3069","0.1338"
"1.9600","0.3095","0.1365"
"1.9800","0.3124","0.1487"
"2.0000","0.3154","0.1370"
"2.0200","0.3185","0.1476"
