Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0029"
"0.0200","0.0000","-0.0267"
"0.0400","0.0001","-0.0141"
"0.0600","0.0004","-0.0171"
"0.0800","0.0007","-0.0280"
"0.1000","0.0016","-0.0046"
"0.1200","0.0036","0.0062"
"0.1400","0.0067","-0.0170"
"0.1600","0.0102","-0.0187"
"0.1800","0.0138","-0.0157"
"0.2000","0.0173","-0.0181"
"0.2200","0.0209","-0.0115"
"0.2400","0.0243","-0.0010"
"0.2600","0.0276","-0.0017"
"0.2800","0.0311","-0.0052"
"0.3000","0.0347","0.0082"
"0.3200","0.0383","-0.0132"
"0.3400","0.0415","0.0003"
"0.3600","0.0443","0.0126"
"0.3800","0.0468","0.0018"
"0.4000","0.0494","0.0033"
"0.4200","0.0523","0.0035"
"0.4400","0.0554","-0.0002"
"0.4600","0.0587","0.0156"
"0.4800","0.0621","0.0217"
"0.5000","0.0659","0.0155"
"0.5200","0.0698","0.0191"
"0.5400","0.0738","0.0124"
"0.5600","0.0775","0.0091"
"0.5800","0.0812","0.0120"
"0.6000","0.0848","0.0315"
"0.6200","0.0885","0.0157"
"0.6400","0.0919","0.0223"
"0.6600","0.0949","0.0263"
"0.6800","0.0975","0.0174"
"0.7000","0.1001","0.0342"
"0.7200","0.1029","0.0230"
"0.7400","0.1059","0.0277"
"0.7600","0.1090","0.0299"
"0.7800","0.1122","0.0351"
"0.8000","0.1158","0.0433"
"0.8200","0.1196","0.0280"
"0.8400","0.1235","0.0348"
"0.8600","0.1273","0.0396"
"0.8800","0.1308","0.0388"
"0.9000","0.1342","0.0430"
"0.9200","0.1377","0.0482"
"0.9400","0.1411","0.0481"
"0.9600","0.1443","0.0391"
"0.9800","0.1472","0.0539"
"1.0000","0.1499","0.0493"
"1.0200","0.1525","0.0454"
"1.0400","0.1555","0.0627"
"1.0600","0.1586","0.0422"
"1.0800","0.1619","0.0504"
"1.1000","0.1654","0.0727"
"1.1200","0.1691","0.0606"
"1.1400","0.1731","0.0526"
"1.1600","0.1771","0.0622"
"1.1800","0.1808","0.0535"
"1.2000","0.1844","0.0503"
"1.2200","0.1880","0.0581"
"1.2400","0.1916","0.0525"
"1.2600","0.1951","0.0566"
"1.2800","0.1982","0.0798"
"1.3000","0.2009","0.0655"
"1.3200","0.2035","0.0661"
"1.3400","0.2063","0.0804"
"1.3600","0.2093","0.0602"
"1.3800","0.2124","0.0711"
"1.4000","0.2155","0.0917"
"1.4200","0.2190","0.0742"
"1.4400","0.2227","0.0759"
"1.4600","0.2266","0.0837"
"1.4800","0.2303","0.0711"
"1.5000","0.2339","0.0803"
"1.5200","0.2374","0.0890"
"1.5400","0.2409","0.0776"
"1.5600","0.2445","0.0789"
"1.5800","0.2479","0.0885"
"1.6000","0.2509","0.0907"
"1.6200","0.2536","0.0934"
"1.6400","0.2562","0.0991"
"1.6600","0.2590","0.0926"
"1.6800","0.2620","0.1038"
