Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0021"
"0.0200","0.0000","-0.0103"
"0.0400","0.0001","0.0000"
"0.0600","0.0004","0.0078"
"0.0800","0.0007","0.0013"
"0.1000","0.0016","0.0218"
"0.1200","0.0036","0.0222"
"0.1400","0.0067","0.0021"
"0.1600","0.0104","0.0033"
"0.1800","0.0140","-0.0004"
"0.2000","0.0176","0.0063"
"0.2200","0.0211","0.0268"
"0.2400","0.0246","0.0108"
"0.2600","0.0280","0.0151"
"0.2800","0.0314","0.0296"
"0.3000","0.0350","0.0196"
"0.3200","0.0385","0.0124"
"0.3400","0.0416","0.0190"
"0.3600","0.0444","0.0208"
"0.3800","0.0469","0.0194"
"0.4000","0.0496","0.0202"
"0.4200","0.0524","0.0277"
"0.4400","0.0554","0.0252"
"0.4600","0.0586","0.0348"
"0.4800","0.0620","0.0281"
"0.5000","0.0657","0.0291"
"0.5200","0.0696","0.0379"
"0.5400","0.0736","0.0265"
"0.5600","0.0774","0.0318"
"0.5800","0.0811","0.0273"
"0.6000","0.0849","0.0332"
"0.6200","0.0886","0.0348"
"0.6400","0.0921","0.0298"
"0.6600","0.0950","0.0357"
"0.6800","0.0977","0.0363"
"0.7000","0.1003","0.0441"
"0.7200","0.1031","0.0521"
"0.7400","0.1060","0.0412"
"0.7600","0.1090","0.0515"
"0.7800","0.1122","0.0562"
"0.8000","0.1158","0.0467"
"0.8200","0.1195","0.0557"
"0.8400","0.1234","0.0504"
"0.8600","0.1271","0.0552"
"0.8800","0.1307","0.0567"
"0.9000","0.1342","0.0603"
"0.9200","0.1377","0.0585"
"0.9400","0.1412","0.0583"
"0.9600","0.1444","0.0608"
"0.9800","0.1473","0.0470"
"1.0000","0.1499","0.0575"
"1.0200","0.1526","0.0808"
"1.0400","0.1555","0.0666"
"1.0600","0.1587","0.0642"
"1.0800","0.1620","0.0609"
"1.1000","0.1654","0.0716"
"1.1200","0.1692","0.0657"
"1.1400","0.1732","0.0685"
"1.1600","0.1772","0.0747"
"1.1800","0.1809","0.0628"
"1.2000","0.1844","0.0788"
"1.2200","0.1880","0.0787"
"1.2400","0.1916","0.0630"
"1.2600","0.1951","0.0874"
"1.2800","0.1982","0.0811"
"1.3000","0.2009","0.0723"
"1.3200","0.2035","0.0872"
"1.3400","0.2063","0.0832"
"1.3600","0.2092","0.0792"
"1.3800","0.2123","0.0939"
"1.4000","0.2155","0.0876"
"1.4200","0.2189","0.0840"
"1.4400","0.2226","0.0935"
"1.4600","0.2264","0.0848"
"1.4800","0.2302","0.0757"
"1.5000","0.2338","0.1051"
"1.5200","0.2373","0.1009"
"1.5400","0.2409","0.0936"
"1.5600","0.2445","0.0890"
"1.5800","0.2479","0.0787"
"1.6000","0.2509","0.0932"
"1.6200","0.2536","0.1051"
"1.6400","0.2562","0.1042"
"1.6600","0.2590","0.0979"
"1.6800","0.2620","0.1114"
"1.7000","0.2651","0.1033"
"1.7200","0.2685","0.0978"
"1.7400","0.2721","0.1147"
"1.7600","0.2760","0.1210"
