Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0015"
"0.0200","0.0000","-0.0128"
"0.0400","0.0001","-0.0097"
"0.0600","0.0004","-0.0062"
"0.0800","0.0008","-0.0090"
"0.1000","0.0017","-0.0012"
"0.1200","0.0037","0.0019"
"0.1400","0.0069","0.0012"
"0.1600","0.0105","-0.0202"
"0.1800","0.0140","-0.0141"
"0.2000","0.0176","-0.0012"
"0.2200","0.0212","-0.0145"
"0.2400","0.0247","0.0023"
"0.2600","0.0281","0.0012"
"0.2800","0.0315","0.0003"
"0.3000","0.0351","0.0033"
"0.3200","0.0386","-0.0174"
"0.3400","0.0418","-0.0085"
"0.3600","0.0444","0.0036"
"0.3800","0.0469","0.0123"
"0.4000","0.0496","0.0100"
"0.4200","0.0525","0.0043"
"0.4400","0.0556","0.0187"
"0.4600","0.0588","0.0172"
"0.4800","0.0623","0.0210"
"0.5000","0.0660","0.0268"
"0.5200","0.0700","0.0169"
"0.5400","0.0740","0.0121"
"0.5600","0.0777","0.0180"
"0.5800","0.0814","0.0184"
"0.6000","0.0850","0.0222"
"0.6200","0.0887","0.0252"
"0.6400","0.0922","0.0228"
"0.6600","0.0951","0.0183"
"0.6800","0.0977","0.0320"
"0.7000","0.1003","0.0313"
"0.7200","0.1031","0.0174"
"0.7400","0.1061","0.0362"
"0.7600","0.1091","0.0377"
"0.7800","0.1124","0.0382"
"0.8000","0.1160","0.0269"
"0.8200","0.1198","0.0143"
"0.8400","0.1237","0.0343"
"0.8600","0.1274","0.0265"
"0.8800","0.1310","0.0322"
"0.9000","0.1344","0.0395"
"0.9200","0.1379","0.0401"
"0.9400","0.1414","0.0419"
"0.9600","0.1446","0.0462"
"0.9800","0.1475","0.0359"
"1.0000","0.1500","0.0353"
"1.0200","0.1527","0.0364"
"1.0400","0.1557","0.0437"
"1.0600","0.1589","0.0375"
"1.0800","0.1621","0.0447"
"1.1000","0.1656","0.0508"
"1.1200","0.1694","0.0534"
"1.1400","0.1733","0.0596"
"1.1600","0.1773","0.0387"
"1.1800","0.1811","0.0497"
"1.2000","0.1846","0.0586"
"1.2200","0.1882","0.0553"
"1.2400","0.1918","0.0488"
"1.2600","0.1953","0.0552"
"1.2800","0.1984","0.0638"
"1.3000","0.2011","0.0535"
"1.3200","0.2037","0.0539"
"1.3400","0.2064","0.0728"
"1.3600","0.2094","0.0675"
"1.3800","0.2125","0.0644"
"1.4000","0.2157","0.0657"
"1.4200","0.2191","0.0620"
"1.4400","0.2229","0.0756"
"1.4600","0.2268","0.0621"
"1.4800","0.2306","0.0625"
"1.5000","0.2341","0.0743"
