Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0051"
"0.0200","0.0000","0.0029"
"0.0400","0.0001","0.0051"
"0.0600","0.0004","0.0155"
"0.0800","0.0007","0.0059"
"0.1000","0.0015","0.0047"
"0.1200","0.0033","0.0181"
"0.1400","0.0062","0.0173"
"0.1600","0.0098","0.0002"
"0.1800","0.0135","0.0175"
"0.2000","0.0172","0.0152"
"0.2200","0.0207","0.0094"
"0.2400","0.0241","0.0212"
"0.2600","0.0275","0.0129"
"0.2800","0.0310","0.0333"
"0.3000","0.0346","0.0339"
"0.3200","0.0382","0.0220"
"0.3400","0.0414","0.0237"
"0.3600","0.0442","0.0269"
"0.3800","0.0467","0.0343"
"0.4000","0.0493","0.0309"
"0.4200","0.0521","0.0340"
"0.4400","0.0552","0.0457"
"0.4600","0.0584","0.0548"
"0.4800","0.0618","0.0608"
"0.5000","0.0655","0.0465"
"0.5200","0.0694","0.0454"
"0.5400","0.0734","0.0544"
"0.5600","0.0771","0.0577"
"0.5800","0.0807","0.0600"
"0.6000","0.0843","0.0643"
"0.6200","0.0880","0.0607"
"0.6400","0.0915","0.0572"
"0.6600","0.0945","0.0629"
"0.6800","0.0972","0.0676"
"0.7000","0.0997","0.0621"
"0.7200","0.1025","0.0783"
"0.7400","0.1055","0.0718"
"0.7600","0.1085","0.0691"
"0.7800","0.1118","0.0852"
"0.8000","0.1153","0.0805"
"0.8200","0.1191","0.0732"
"0.8400","0.1230","0.0832"
"0.8600","0.1268","0.0895"
"0.8800","0.1304","0.0843"
"0.9000","0.1338","0.0900"
"0.9200","0.1372","0.0845"
"0.9400","0.1407","0.0839"
"0.9600","0.1439","0.0896"
"0.9800","0.1469","0.0899"
"1.0000","0.1495","0.0891"
"1.0200","0.1522","0.1015"
"1.0400","0.1551","0.1065"
"1.0600","0.1582","0.0975"
"1.0800","0.1615","0.1098"
"1.1000","0.1649","0.1124"
"1.1200","0.1686","0.1116"
"1.1400","0.1726","0.1075"
"1.1600","0.1765","0.1059"
"1.1800","0.1803","0.1126"
"1.2000","0.1838","0.1248"
"1.2200","0.1874","0.1210"
"1.2400","0.1911","0.1171"
"1.2600","0.1947","0.1210"
"1.2800","0.1978","0.1263"
"1.3000","0.2006","0.1157"
"1.3200","0.2032","0.1211"
"1.3400","0.2059","0.1307"
"1.3600","0.2088","0.1370"
"1.3800","0.2119","0.1311"
"1.4000","0.2150","0.1335"
"1.4200","0.2184","0.1388"
"1.4400","0.2221","0.1412"
"1.4600","0.2260","0.1409"
"1.4800","0.2298","0.1417"
"1.5000","0.2334","0.1386"
"1.5200","0.2369","0.1568"
"1.5400","0.2404","0.1637"
"1.5600","0.2440","0.1554"
"1.5800","0.2475","0.1592"
"1.6000","0.2506","0.1585"
"1.6200","0.2533","0.1495"
"1.6400","0.2559","0.1596"
"1.6600","0.2587","0.1736"
"1.6800","0.2616","0.1661"
"1.7000","0.2647","0.1742"
"1.7200","0.2680","0.1746"
"1.7400","0.2716","0.1589"
"1.7600","0.2754","0.1751"
"1.7800","0.2795","0.1896"
"1.8000","0.2836","0.1703"
"1.8200","0.2874","0.1761"
"1.8400","0.2910","0.1930"
"1.8600","0.2946","0.1828"
"1.8800","0.2981","0.1802"
"1.9000","0.3013","0.1814"
"1.9200","0.3041","0.1922"
"1.9400","0.3066","0.1885"
"1.9600","0.3093","0.1979"
"1.9800","0.3121","0.1949"
"2.0000","0.3151","0.1958"
"2.0200","0.3181","0.1970"
"2.0400","0.3213","0.1974"
"2.0600","0.3249","0.2007"
"2.0800","0.3287","0.2157"
"2.1000","0.3326","0.2148"
"2.1200","0.3363","0.2075"
"2.1400","0.3398","0.2217"
"2.1600","0.3433","0.2262"
"2.1800","0.3469","0.2095"
"2.2000","0.3504","0.2126"
"2.2200","0.3536","0.2220"
"2.2400","0.3565","0.2149"
"2.2600","0.3591","0.2284"
"2.2800","0.3619","0.2284"
"2.3000","0.3648","0.2238"
"2.3200","0.3679","0.2332"
"2.3400","0.3712","0.2423"
"2.3600","0.3747","0.2468"
"2.3800","0.3785","0.2493"
"2.4000","0.3825","0.2498"
"2.4200","0.3865","0.2319"
"2.4400","0.3902","0.2532"
"2.4600","0.3939","0.2564"
"2.4800","0.3976","0.2547"
"2.5000","0.4014","0.2686"
"2.5200","0.4049","0.2647"
"2.5400","0.4078","0.2527"
"2.5600","0.4105","0.2703"
"2.5800","0.4131","0.2678"
"2.6000","0.4159","0.2664"
"2.6200","0.4189","0.2709"
"2.6400","0.4219","0.2686"
"2.6600","0.4251","0.2795"
"2.6800","0.4286","0.2737"
"2.7000","0.4323","0.2777"
"2.7200","0.4361","0.2805"
"2.7400","0.4398","0.2982"
"2.7600","0.4434","0.3017"
"2.7800","0.4470","0.2969"
"2.8000","0.4507","0.3052"
"2.8200","0.4543","0.3026"
"2.8400","0.4576","0.2999"
"2.8600","0.4605","0.2986"
"2.8800","0.4631","0.3072"
"2.9000","0.4658","0.3082"
"2.9200","0.4687","0.3078"
"2.9400","0.4717","0.3106"
"2.9600","0.4749","0.3227"
"2.9800","0.4782","0.3140"
"3.0000","0.4819","0.3325"
"3.0200","0.4859","0.3321"
"3.0400","0.4899","0.3267"
"3.0600","0.4937","0.3425"
"3.0800","0.4974","0.3403"
"3.1000","0.5010","0.3385"
"3.1200","0.5046","0.3475"
"3.1400","0.5080","0.3471"
"3.1600","0.5110","0.3380"
"3.1800","0.5137","0.3527"
"3.2000","0.5163","0.3624"
"3.2200","0.5190","0.3601"
"3.2400","0.5219","0.3653"
"3.2600","0.5250","0.3669"
"3.2800","0.5282","0.3611"
"3.3000","0.5316","0.3847"
"3.3200","0.5354","0.3805"
"3.3400","0.5394","0.3727"
"3.3600","0.5433","0.3883"
"3.3800","0.5469","0.3798"
"3.4000","0.5504","0.3963"
"3.4200","0.5539","0.4046"
"3.4400","0.5575","0.4029"
"3.4600","0.5608","0.3995"
"3.4800","0.5637","0.4092"
"3.5000","0.5664","0.4107"
"3.5200","0.5690","0.4100"
"3.5400","0.5719","0.4186"
"3.5600","0.5750","0.4164"
"3.5800","0.5782","0.4198"
"3.6000","0.5816","0.4421"
"3.6200","0.5853","0.4328"
"3.6400","0.5891","0.4406"
"3.6600","0.5931","0.4477"
"3.6800","0.5968","0.4421"
"3.7000","0.6004","0.4577"
"3.7200","0.6040","0.4629"
"3.7400","0.6076","0.4550"
"3.7600","0.6112","0.4571"
"3.7800","0.6143","0.4642"
"3.8000","0.6171","0.4702"
"3.8200","0.6197","0.4684"
"3.8400","0.6224","0.4699"
"3.8600","0.6253","0.4762"
"3.8800","0.6284","0.4855"
"3.9000","0.6315","0.4940"
"3.9200","0.6348","0.4861"
"3.9400","0.6383","0.5011"
"3.9600","0.6421","0.5078"
"3.9800","0.6458","0.5062"
"4.0000","0.6495","0.5090"
"4.0200","0.6530","0.5098"
"4.0400","0.6565","0.5294"
"4.0600","0.6602","0.5332"
"4.0800","0.6637","0.5253"
"4.1000","0.6670","0.5348"
"4.1200","0.6698","0.5369"
"4.1400","0.6724","0.5452"
"4.1600","0.6753","0.5409"
"4.1800","0.6784","0.5447"
"4.2000","0.6816","0.5630"
"4.2200","0.6849","0.5581"
"4.2400","0.6885","0.5639"
"4.2600","0.6923","0.5750"
"4.2800","0.6963","0.5801"
"4.3000","0.7001","0.5916"
"4.3200","0.7038","0.5910"
"4.3400","0.7074","0.6097"
"4.3600","0.7110","0.6112"
"4.3800","0.7145","0.6056"
"4.4000","0.7178","0.6053"
"4.4200","0.7206","0.6020"
"4.4400","0.7232","0.6171"
"4.4600","0.7259","0.6236"
"4.4800","0.7288","0.6211"
"4.5000","0.7318","0.6351"
"4.5200","0.7349","0.6334"
"4.5400","0.7383","0.6447"
"4.5600","0.7419","0.6502"
"4.5800","0.7458","0.6490"
"4.6000","0.7497","0.6660"
"4.6200","0.7534","0.6620"
"4.6400","0.7569","0.6831"
"4.6600","0.7605","0.6740"
"4.6800","0.7640","0.6815"
"4.7000","0.7676","0.6920"
"4.7200","0.7708","0.6901"
"4.7400","0.7736","0.7007"
"4.7600","0.7762","0.7017"
"4.7800","0.7790","0.7068"
"4.8000","0.7820","0.7038"
"4.8200","0.7852","0.7073"
"4.8400","0.7885","0.7360"
"4.8600","0.7921","0.7384"
"4.8800","0.7959","0.7402"
"4.9000","0.7998","0.7446"
"4.9200","0.8036","0.7424"
"4.9400","0.8072","0.7657"
"4.9600","0.8107","0.7689"
"4.9800","0.8142","0.7711"
"5.0000","0.8179","0.7764"
"5.0200","0.8213","0.7776"
"5.0400","0.8242","0.7868"
"5.0600","0.8268","0.7775"
"5.0800","0.8294","0.8013"
"5.1000","0.8321","0.8054"
"5.1200","0.8350","0.8035"
"5.1400","0.8380","0.8112"
"5.1600","0.8411","0.8125"
"5.1800","0.8446","0.8138"
"5.2000","0.8483","0.8348"
"5.2200","0.8523","0.8336"
"5.2400","0.8561","0.8423"
"5.2600","0.8598","0.8479"
"5.2800","0.8635","0.8680"
