Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0087"
"0.0200","0.0000","0.0161"
"0.0400","0.0001","-0.0063"
"0.0600","0.0004","-0.0043"
"0.0800","0.0008","0.0122"
"0.1000","0.0016","0.0183"
"0.1200","0.0035","0.0327"
"0.1400","0.0066","0.0086"
"0.1600","0.0103","-0.0006"
"0.1800","0.0139","0.0025"
"0.2000","0.0175","0.0096"
"0.2200","0.0210","0.0202"
"0.2400","0.0243","0.0184"
"0.2600","0.0277","0.0290"
"0.2800","0.0312","0.0230"
"0.3000","0.0348","0.0157"
"0.3200","0.0383","0.0174"
"0.3400","0.0415","0.0083"
"0.3600","0.0443","0.0289"
"0.3800","0.0468","0.0253"
"0.4000","0.0495","0.0242"
"0.4200","0.0523","0.0289"
"0.4400","0.0554","0.0313"
"0.4600","0.0586","0.0534"
"0.4800","0.0620","0.0351"
"0.5000","0.0658","0.0386"
"0.5200","0.0697","0.0524"
"0.5400","0.0737","0.0425"
"0.5600","0.0775","0.0468"
"0.5800","0.0811","0.0499"
"0.6000","0.0848","0.0517"
"0.6200","0.0885","0.0473"
"0.6400","0.0919","0.0498"
"0.6600","0.0949","0.0564"
"0.6800","0.0975","0.0600"
"0.7000","0.1001","0.0690"
"0.7200","0.1029","0.0559"
"0.7400","0.1059","0.0602"
"0.7600","0.1089","0.0740"
"0.7800","0.1122","0.0603"
"0.8000","0.1157","0.0580"
"0.8200","0.1196","0.0674"
"0.8400","0.1234","0.0639"
"0.8600","0.1272","0.0755"
"0.8800","0.1307","0.0722"
"0.9000","0.1342","0.0707"
"0.9200","0.1376","0.0837"
"0.9400","0.1410","0.0729"
"0.9600","0.1443","0.0689"
"0.9800","0.1472","0.0672"
"1.0000","0.1498","0.0737"
"1.0200","0.1525","0.0862"
"1.0400","0.1554","0.0896"
"1.0600","0.1586","0.0903"
"1.0800","0.1618","0.0841"
"1.1000","0.1653","0.0904"
"1.1200","0.1691","0.0856"
"1.1400","0.1730","0.0883"
"1.1600","0.1770","0.1005"
"1.1800","0.1807","0.0894"
"1.2000","0.1842","0.0987"
"1.2200","0.1878","0.0963"
"1.2400","0.1915","0.0843"
"1.2600","0.1950","0.1005"
"1.2800","0.1981","0.0860"
