Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0098"
"0.0200","0.0000","0.0078"
"0.0400","0.0001","-0.0109"
"0.0600","0.0004","-0.0008"
"0.0800","0.0008","-0.0040"
"0.1000","0.0017","0.0112"
"0.1200","0.0037","0.0183"
"0.1400","0.0068","0.0106"
"0.1600","0.0104","0.0161"
"0.1800","0.0139","0.0142"
"0.2000","0.0175","-0.0120"
"0.2200","0.0211","-0.0020"
"0.2400","0.0246","0.0156"
"0.2600","0.0280","0.0218"
"0.2800","0.0315","0.0225"
"0.3000","0.0350","0.0114"
"0.3200","0.0385","0.0092"
"0.3400","0.0417","-0.0047"
"0.3600","0.0444","0.0117"
"0.3800","0.0469","0.0193"
"0.4000","0.0496","0.0315"
"0.4200","0.0525","0.0341"
"0.4400","0.0555","0.0224"
"0.4600","0.0588","0.0241"
"0.4800","0.0623","0.0236"
"0.5000","0.0660","0.0262"
"0.5200","0.0699","0.0317"
"0.5400","0.0739","0.0344"
"0.5600","0.0777","0.0341"
"0.5800","0.0813","0.0276"
"0.6000","0.0849","0.0234"
"0.6200","0.0886","0.0282"
"0.6400","0.0921","0.0210"
"0.6600","0.0951","0.0385"
"0.6800","0.0977","0.0372"
"0.7000","0.1003","0.0393"
"0.7200","0.1031","0.0433"
"0.7400","0.1060","0.0364"
"0.7600","0.1091","0.0461"
"0.7800","0.1123","0.0474"
"0.8000","0.1159","0.0541"
"0.8200","0.1198","0.0613"
"0.8400","0.1237","0.0502"
"0.8600","0.1274","0.0404"
"0.8800","0.1309","0.0476"
"0.9000","0.1344","0.0573"
"0.9200","0.1378","0.0578"
"0.9400","0.1413","0.0515"
"0.9600","0.1445","0.0568"
"0.9800","0.1474","0.0561"
"1.0000","0.1500","0.0578"
"1.0200","0.1527","0.0653"
"1.0400","0.1557","0.0610"
"1.0600","0.1588","0.0719"
"1.0800","0.1621","0.0675"
"1.1000","0.1656","0.0549"
"1.1200","0.1693","0.0597"
"1.1400","0.1733","0.0770"
"1.1600","0.1773","0.0691"
"1.1800","0.1810","0.0700"
"1.2000","0.1846","0.0771"
"1.2200","0.1882","0.0734"
"1.2400","0.1918","0.0746"
"1.2600","0.1953","0.0725"
"1.2800","0.1984","0.0729"
"1.3000","0.2011","0.0760"
"1.3200","0.2036","0.0895"
"1.3400","0.2064","0.0784"
"1.3600","0.2094","0.0784"
"1.3800","0.2126","0.0865"
"1.4000","0.2157","0.0881"
"1.4200","0.2192","0.0850"
"1.4400","0.2229","0.0860"
"1.4600","0.2267","0.0963"
"1.4800","0.2305","0.1025"
"1.5000","0.2340","0.0971"
"1.5200","0.2374","0.0904"
"1.5400","0.2410","0.0925"
"1.5600","0.2446","0.0902"
"1.5800","0.2480","0.0912"
"1.6000","0.2510","0.0851"
"1.6200","0.2537","0.1064"
"1.6400","0.2563","0.0997"
"1.6600","0.2592","0.0889"
"1.6800","0.2621","0.1045"
"1.7000","0.2653","0.1117"
"1.7200","0.2686","0.1212"
"1.7400","0.2723","0.1175"
"1.7600","0.2762","0.1097"
"1.7800","0.2803","0.1068"
"1.8000","0.2842","0.1197"
"1.8200","0.2880","0.1089"
"1.8400","0.2916","0.1086"
"1.8600","0.2952","0.1303"
"1.8800","0.2987","0.1161"
"1.9000","0.3018","0.0942"
"1.9200","0.3046","0.1294"
"1.9400","0.3072","0.1048"
"1.9600","0.3098","0.1310"
"1.9800","0.3127","0.1241"
"2.0000","0.3157","0.1273"
"2.0200","0.3188","0.1225"
"2.0400","0.3221","0.1414"
"2.0600","0.3257","0.1412"
"2.0800","0.3294","0.1240"
"2.1000","0.3332","0.1467"
"2.1200","0.3368","0.1340"
