Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0063"
"0.0200","0.0000","0.0122"
"0.0400","0.0001","-0.0049"
"0.0600","0.0004","0.0034"
"0.0800","0.0007","0.0108"
"0.1000","0.0016","0.0156"
"0.1200","0.0035","0.0396"
"0.1400","0.0065","0.0078"
"0.1600","0.0101","0.0025"
"0.1800","0.0137","0.0125"
"0.2000","0.0173","0.0175"
"0.2200","0.0209","0.0286"
"0.2400","0.0243","0.0308"
"0.2600","0.0277","0.0367"
"0.2800","0.0312","0.0200"
"0.3000","0.0348","0.0217"
"0.3200","0.0383","0.0170"
"0.3400","0.0415","0.0193"
"0.3600","0.0442","0.0387"
"0.3800","0.0467","0.0396"
"0.4000","0.0493","0.0447"
"0.4200","0.0522","0.0491"
"0.4400","0.0553","0.0325"
"0.4600","0.0585","0.0388"
"0.4800","0.0620","0.0461"
"0.5000","0.0657","0.0529"
"0.5200","0.0696","0.0536"
"0.5400","0.0736","0.0385"
"0.5600","0.0774","0.0504"
"0.5800","0.0810","0.0390"
"0.6000","0.0847","0.0479"
"0.6200","0.0883","0.0561"
"0.6400","0.0918","0.0588"
"0.6600","0.0948","0.0612"
"0.6800","0.0974","0.0601"
"0.7000","0.1000","0.0584"
"0.7200","0.1028","0.0561"
"0.7400","0.1058","0.0677"
"0.7600","0.1088","0.0779"
"0.7800","0.1121","0.0677"
"0.8000","0.1156","0.0746"
"0.8200","0.1195","0.0743"
"0.8400","0.1233","0.0656"
"0.8600","0.1271","0.0780"
"0.8800","0.1306","0.0742"
"0.9000","0.1341","0.0767"
"0.9200","0.1375","0.0874"
"0.9400","0.1410","0.0743"
"0.9600","0.1443","0.0647"
"0.9800","0.1471","0.0686"
"1.0000","0.1497","0.0909"
"1.0200","0.1524","0.0878"
"1.0400","0.1553","0.0851"
"1.0600","0.1585","0.0935"
"1.0800","0.1618","0.0877"
"1.1000","0.1653","0.0859"
"1.1200","0.1690","0.0918"
"1.1400","0.1730","0.0911"
"1.1600","0.1770","0.1009"
"1.1800","0.1807","0.0907"
"1.2000","0.1842","0.0957"
"1.2200","0.1878","0.0975"
"1.2400","0.1915","0.0914"
"1.2600","0.1950","0.1047"
"1.2800","0.1981","0.0951"
"1.3000","0.2008","0.1021"
"1.3200","0.2034","0.1162"
"1.3400","0.2062","0.1174"
"1.3600","0.2092","0.1050"
"1.3800","0.2123","0.1109"
"1.4000","0.2154","0.1330"
"1.4200","0.2188","0.1217"
"1.4400","0.2225","0.1174"
"1.4600","0.2264","0.1271"
"1.4800","0.2302","0.1114"
"1.5000","0.2337","0.1189"
"1.5200","0.2371","0.1229"
"1.5400","0.2407","0.1282"
"1.5600","0.2443","0.1404"
"1.5800","0.2477","0.1265"
"1.6000","0.2508","0.1309"
