Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0006"
"0.0200","0.0000","-0.0024"
"0.0400","0.0001","-0.0086"
"0.0600","0.0004","0.0002"
"0.0800","0.0008","-0.0004"
"0.1000","0.0016","0.0136"
"0.1200","0.0035","0.0285"
"0.1400","0.0066","0.0040"
"0.1600","0.0102","-0.0026"
"0.1800","0.0138","0.0081"
"0.2000","0.0174","0.0011"
"0.2200","0.0209","0.0096"
"0.2400","0.0243","0.0158"
"0.2600","0.0277","0.0056"
"0.2800","0.0312","0.0132"
"0.3000","0.0348","0.0143"
"0.3200","0.0384","0.0096"
"0.3400","0.0416","0.0147"
"0.3600","0.0443","0.0287"
"0.3800","0.0468","0.0151"
"0.4000","0.0494","0.0210"
"0.4200","0.0523","0.0350"
"0.4400","0.0554","0.0223"
"0.4600","0.0586","0.0259"
"0.4800","0.0620","0.0407"
"0.5000","0.0658","0.0333"
"0.5200","0.0697","0.0342"
"0.5400","0.0736","0.0304"
"0.5600","0.0774","0.0373"
"0.5800","0.0810","0.0498"
"0.6000","0.0846","0.0508"
"0.6200","0.0883","0.0407"
"0.6400","0.0918","0.0320"
"0.6600","0.0948","0.0458"
"0.6800","0.0975","0.0505"
"0.7000","0.1001","0.0473"
"0.7200","0.1029","0.0498"
"0.7400","0.1059","0.0526"
"0.7600","0.1089","0.0577"
"0.7800","0.1121","0.0625"
"0.8000","0.1156","0.0623"
"0.8200","0.1195","0.0623"
"0.8400","0.1234","0.0516"
"0.8600","0.1272","0.0580"
"0.8800","0.1307","0.0712"
"0.9000","0.1342","0.0572"
"0.9200","0.1376","0.0666"
"0.9400","0.1410","0.0737"
"0.9600","0.1442","0.0689"
"0.9800","0.1471","0.0637"
"1.0000","0.1497","0.0789"
"1.0200","0.1524","0.0836"
"1.0400","0.1554","0.0692"
"1.0600","0.1585","0.0759"
"1.0800","0.1618","0.0918"
"1.1000","0.1653","0.0903"
"1.1200","0.1690","0.0871"
"1.1400","0.1729","0.0881"
"1.1600","0.1769","0.0798"
"1.1800","0.1806","0.0904"
"1.2000","0.1841","0.0956"
"1.2200","0.1877","0.0982"
"1.2400","0.1914","0.0896"
"1.2600","0.1950","0.1038"
"1.2800","0.1981","0.0918"
"1.3000","0.2008","0.0866"
"1.3200","0.2034","0.1169"
"1.3400","0.2062","0.1117"
